SZ300157	恒泰艾普	

SH600063	皖维高新	

SH600761	安徽合力	

SH600584	长电科技	

SZ300309	吉艾科技	

SZ000004	国农科技	

SZ300122	智飞生物	

SH600604	市北高新	

SH600051	宁波联合	

SH600881	亚泰集团	

SZ002221	东华能源	

SZ002632	道明光学	

SZ000702	正虹科技	

SH603123	翠微股份	

SZ000910	大亚科技	

SZ002160	常铝股份	

SZ000677	*ST海龙		

SZ000060	中金岭南	

SZ002517	泰亚股份	

SZ002277	友阿股份	

SH600227	赤天化		

SZ000554	泰山石油	

SZ002395	双象股份	

SH600251	冠农股份	

SH600499	科达机电	

SZ002515	金字火腿	

SH600622	嘉宝集团	

SZ002058	威 尔 泰	

SZ300344	太空板业	

SH601168	西部矿业	

SH600764	中电广通	

SZ000536	华映科技	

SZ002419	天虹商场	

SH600633	浙报传媒	

SH600399	抚顺特钢	

SZ002314	雅致股份	

SZ002599	盛通股份	

SZ002557	洽洽食品	

SZ300236	上海新阳	

SH600026	中海发展	

SZ002008	大族激光	

SZ002140	东华科技	

SZ002128	露天煤业	

SH600883	XD博闻科	

SZ000821	京山轻机	

SZ000429	粤高速Ａ	

SH600781	上海辅仁	

SZ000027	深圳能源	

SZ000717	*ST韶钢		

SH600647	同达创业	

SZ002433	太安堂		

SH603333	明星电缆	

SH600814	杭州解百	

SZ300118	东方日升	

SZ002575	群兴玩具	

SH600078	澄星股份	

SZ002220	天宝股份	

SZ300105	龙源技术	

SZ002455	百川股份	

SH600365	通葡股份	

SZ002472	双环传动	

SZ300062	中能电气	

SZ002664	信质电机	

SZ000652	泰达股份	

SZ002463	沪电股份	

SZ000502	绿景控股	

SH600735	新华锦		

SZ000415	渤海租赁	

SZ002689	博林特		

SZ002342	巨力索具	

SZ002094	青岛金王	

SZ000968	煤 气 化	

SH600081	东风科技	

SH600064	南京高科	

SZ000949	新乡化纤	

SH600796	钱江生化	

SZ300041	回天胶业	

SH600897	厦门空港	

SZ002359	齐星铁塔	

SZ300004	南风股份	

SZ002001	新 和 成	

SZ000070	特发信息	

SH600188	兖州煤业	

SH600641	万业企业	

SH600660	福耀玻璃	

SZ000895	双汇发展	

SZ300310	宜通世纪	

SH601101	XD昊华能	

SH600882	华联矿业	

SZ002510	天汽模		

SZ300186	大华农		

SZ300212	易华录		

SZ002337	赛象科技	

SH600822	上海物贸	

SH600876	洛阳玻璃	

SH600606	金丰投资	

SZ002585	双星新材	

SH600635	大众公用	

SZ000420	吉林化纤	

SH600295	鄂尔多斯	

SH600071	凤凰光学	

SZ002303	美盈森		

SZ000059	辽通化工	

SH600035	楚天高速	

SZ000063	中兴通讯	

SZ000025	特  力Ａ	

SZ002339	积成电子	

SH600505	西昌电力	

SZ002452	长高集团	

SH600054	黄山旅游	

SH600005	武钢股份	

